,Title,Company,Location,Salary,Job Url,Snippet,Seniority,Average
683,Graphic Designer - Active Pooling,Design Pickle,Remote,"PHP 35,000 - PHP 40,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzU4VAVrMxMMKtXdOLIcP7oq6_aUmugMPId1KHVQqDZliyj5XEUh_BUUmAJJsuJb4BT1WVBjvLDEQrZdfNo5i7FWncL8htmRTv12KwqZOR6jImJCm1XnPjSgjD7a2LT-rp505gK7X-pR6Q-zQCl4X06t06GXZ5JgRzJpc3s1PHqHpmoG8zIe7Kjm_pkN1MWURaYu7guUrIxpxLAdPutOcFPkJ7FJkKztuVYf3dPHUpIbAnh04tOyPACfbgbsIKLflTupqX3J9vdvS_EJqIjrLRoV-dCrQQO-YuyIDZG4IuEMnTdlm3l8F79HFqrEJ0Q-AVI8bJ8oDklDel8bz_v6aM1TJg_7rNy4zho4kB00apzHmeli91NYSsjMCMT64RuSf21y2vkYsUoqvgzlhqdi1asBKQNO4H9HaJmPtI8cDt03GO4IgQZYMsmxz8KJ0yQ4jUcGNFuzZBBbyjp1lUYCSdeB9d_s6FtUEsGtMchYdEb78slb52u_j99poPwS4mrM0=&p=2&fvj=1&vjs=3,Efficiently and pragmatically execute graphic design requests such as: *.,middle_level,37500.0
801,Junior Software Developer (Support Department),Developer Soft and Technical Support Sea Inc.,Remote,"PHP 25,000 - PHP 43,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLw1TykAvIpoKSu9ck5c39FPrsb1-IawxpZ0MpAR9jpMBded_HnDfNF57PsPuC1BRA82S_bg4onLeyLK3kqONEMv2GT3qIQsIfDzKu7sY6g8oZBboUHga716i65ZaJJgwM_k9YDxblLYfww-NCur1UN3NlU25W_nKZX1x_Bzn9w2Q4-AFB1HuNmswXfBGsN9Cl04bQ4D5yvzLWFlWfXgSt7WaMI7PAwu4FeNaGFRrFy0XnJDkHtFSB15-LElfWjoxEawlQxada4jQoj5Gljw2-vrowFjZ-vtjqCCg-jlqT0I47iwdsxnd_z4D0cN9K_BWagP5Iw4uHV8olBjw2ce10pX-mEepqWX4UF3VvzEbmsGgQB2zc9qzhXNeCrS3mrjQoLX_zNgs5y0JGu5g-v3EGYKLHaPCNPcKtJeOI6k0hCJusxSLzws6IsxnOHFjDN6zyFcwCGJoOnMWYILCEaq5DLLJ8-d1hfqYC4oD1E2iGejFCUIo92aLPg-Qil9F-0m0=&p=0&fvj=1&vjs=3,"Communicate with customers using email, online help desk software, and chat (in English).",junior_level,34000.0
621,Senior Front-End Developer,Dthree Digital,Remote,"PHP 35,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZEcXF5woi3yEhAwg8ydOIw83av6f-27yx-oSKSIAduqPtTXgk2Tqnax1GpNAL-hND8vRaZox8PkmWhUXxumbQT96_CynUBZFKE7DKopKvuzA7VYOIuJHcYbUjGGMkLO-LzoBJrPQPWexa2EOrynywSFEFqDLJdC2R9kYNK3qpJPfJrZEaByMu9bxIDREqf9vWMIfeJ4JRU5PsdAhgHsBxAVxfhWLDh94Am5TJhDoJ1OOzMi9YEiVqanEVEABiRx3HrPoPRFR3EjFoQsAcXvFhYpc6BUoQDu2tAx4okL8g2WV7h4hHN6_JsPXcssECOONYHCi1DaMDsSOKg4PnOyWp_0R1stohsCJmQTiqk2K-PxtTvMECEvcM5RaS5SnQHA_wL_LOJ_y9MMjU-MV2U1J8kH85Xgo1kfC3vRcXXGiydryrd-fgP1vxYVstnJxyagNgZVVLk6Bi-fACJGzbQNgUsUyJeHhE_4tjHt_aOht21bLEWB8jS-0rQPkIZba_vxM=&p=0&fvj=1&vjs=3,3+ years of front-end development experience.,senior_level,42500.0
768,Senior Graphic Designer,E-team Workforce Private Corporation,Remote,"PHP 65,000 - PHP 80,000 a month",https://ph.indeed.com/company/E--team-Workforce-Private-Corporation/jobs/Senior-Graphic-Designer-2137f89d53f7fa74?fccid=14dbc42540f22808&vjs=3,"Manage graphic design production efforts for proposals, presentations, and occasionally marketing collateral.",senior_level,72500.0
843,Software Developer,EK Consulting and Management Services,Remote,"PHP 25,000 - PHP 75,000 a month",https://ph.indeed.com/company/EK-Consulting-and-Management-Services/jobs/Software-Developer-95d5bc6b8797fcbd?fccid=46b7c571a3e2b018&vjs=3,Updates job knowledge by researching new internet/intranet technologies and software products; participating in educational opportunities; reading professional…,middle_level,50000.0
738,Multimedia Artist (Morning Shift) Temp WFH,EMAPTA,Remote,"PHP 40,000 - PHP 65,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Multimedia-Artist-Temp-Wfh-b680973ccd3e58f8?fccid=2c95d4f01f0c0a46&vjs=3,Have strong graphic design skills in print and digital design.,middle_level,52500.0
798,(Web) Graphic Designer | TEMP WFH | DAY 1 HMO | NIGHT SHIFT,EMAPTA,Remote,"PHP 45,000 - PHP 50,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Graphic-Designer-Temp-Wfh-Day-Hmo-b6dd0fc187157d48?fccid=2c95d4f01f0c0a46&vjs=3,Conceptualizing creative ideas with clients.,middle_level,47500.0
643,Senior Graphic Designer | Permanent WFH,EMAPTA,Remote,"PHP 45,000 - PHP 90,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Senior-Graphic-Designer-Permanent-Wfh-52022dbb57d02b20?fccid=2c95d4f01f0c0a46&vjs=3,"Prepare from concept to final print graphics and digital design requirements, create print-ready artwork files and final web assets.",senior_level,67500.0
755,Web and Graphic Designer | Day Shift | Temp WFH,EMAPTA,Remote,"PHP 30,000 - PHP 45,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Web-Graphic-Designer-Day-Shift-Temp-Wfh-62f218e482e6a31b?fccid=2c95d4f01f0c0a46&vjs=3,Have a background in marketing or graphic design.,middle_level,37500.0
398,Customer Experience Manager,"EMAPTA Philippines, Inc.",Remote,"PHP 30,000 - PHP 45,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Customer-Experience-Manager-4f47067f02ebead3?fccid=2c95d4f01f0c0a46&vjs=3,"As a manager, you will likely spend more time on developing the company’s capabilities in tracking and improving customer experience.",middle_level,37500.0
51,Order Management Team Lead,EMAPTA for General,Remote,"PHP 40,000 - PHP 55,000 a month",https://ph.indeed.com/company/EMAPTA/jobs/Order-Management-Team-Lead-8a644604430c401b?fccid=2c95d4f01f0c0a46&vjs=3,"The Customer Service Coordinator & Team Leader is responsible for order processing, warranty claims, attending to customer inquiries, and troubleshooting supply…",senior_level,47500.0
857,QuickBase Developer,EPS Staffing Service Group Inc,Remote,"PHP 30,000 - PHP 45,000 a month",https://ph.indeed.com/company/ServiceMaster/jobs/Quickbase-Developer-045064a8cbc1030a?fccid=5b9ba6dfc5ea0423&vjs=3,"Tech-savvy, comfortable navigating on websites and software.",middle_level,37500.0
890,Database Application Developer,EPS Staffing Service Group Inc,Remote,"PHP 25,000 - PHP 45,000 a month",https://ph.indeed.com/company/ServiceMaster/jobs/Database-Application-Developer-2f43cee3ea2e0782?fccid=5b9ba6dfc5ea0423&vjs=3,"Tech-savvy, comfortable navigating on websites and software.",middle_level,35000.0
364,Operations Manager,ERA1 Petroleum Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/ERA1-Petroleum-Corporation/jobs/Operation-Manager-1033a8a387166121?fccid=63506cb75ddcd966&vjs=3,Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.,middle_level,35000.0
220,Service Deliver Manager,Eastvantage,Remote,"PHP 50,000 - PHP 100,000 a month",https://ph.indeed.com/company/Eastvantage/jobs/Service-Deliver-Manager-b9f742617d05ebcc?fccid=24cec65acda438a5&vjs=3,"Manage the development, implementation, and maintenance of policies, processes and procedures for Service Desk and the continuous development of Knowledge base.",middle_level,75000.0
677,Graphic Designer,Elite headhunting incorporated,Fort Bonifacio,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/company/Stellar-Headhunting/jobs/Graphic-Designer-7371d61c47c598d1?fccid=f2311e0232ac466b&vjs=3,,middle_level,70000.0
305,District Sales Manager - Pharmaceutical Drugs,Enlife Global Inc.,Makati,"PHP 40,000 - PHP 65,000 a month",https://ph.indeed.com/company/Enlife-Global-Inc/jobs/District-Sales-Manager-268050d1fe060059?fccid=c79efd5b18153e73&vjs=3,"With enough experience as a Sales Manager in Pharmaceutical Industry, *handled critical care products* is a plus!",middle_level,52500.0
397,Operations Manager (with GDS Background),Enshored Inc.,Remote,"PHP 80,000 - PHP 90,000 a month",https://ph.indeed.com/company/Enshored-Inc./jobs/Operation-Manager-2babfbb203254d3b?fccid=0d1db9b2734fa13e&vjs=3,Proven to be a lead-taker and able to work with passion without the need for constant coaching or manager intervention.,middle_level,85000.0
37,Team Manager (For a Travel Program - with GDS experience),Enshored Inc.,Remote,"PHP 55,000 - PHP 60,000 a month",https://ph.indeed.com/company/Enshored-Inc./jobs/Team-Manager-9250031f398ab519?fccid=0d1db9b2734fa13e&vjs=3,Enshored is seeking an outstanding Team Captain for the Travel program who will be a role model to his/her direct reports.,middle_level,57500.0
652,Creative Brand Specialist and Graphic Designer - Night Shift,Epic Healthcare Staffing Shared Services Inc.,Remote,"PHP 28,000 - PHP 35,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXN52jWVCQLBsE16KSJOLyHMqZxe34bD1D45_KRZ6ywhOl0T4tCIUBDr7M4RumVDKdmqxUbkMV9-mZ_BpYDHwzv3Zqr6fa9urU34y60wQcOeiiFe_BTrPHR6YN6S1plYC1bjdwwofs_9mPvSnuhCJLPKd_1ypR9ttB8FQHDFHylKhSf_Utf4n6romMU2DDjcoXtS_h23e67Aq6dh95Yoih2m_8EJg0S1Nd1Vn8y_GzvFVRogHwwrcSd8cHgPLZK09oaKg-bSMMaBp-1anPjSJ9vsEs-vwZHEKfKJdcX9kQ_LdY4lWvr9D4nhcslGWFBn8k98Smml9ttrjoikt1pHWP2IOyHcnumCLZFxWCihatUbQxD-t-DNLvq5GxWfchY_uKNJp6G4JL9U8TfQI-JlJWGm69f5MzOcRLbbc2qIYAC_C5Sbzz0vgwsIvjgwsXtQDKFAErAbixAagtzAHlWJbN-aNES_bn5CRnWjrYeDUTjCopeD3Ui5EDLZzLU_yqMWLbr33r4J6HrH9J2yKsHcGUkfHy1VjMfkA=&p=1&fvj=1&vjs=3,O Email Blast & Blog graphics.,middle_level,31500.0
825,Software Developer,Equitable Computer Services,Remote,"PHP 18,000 - PHP 30,000 a month",https://ph.indeed.com/company/Equitable-Computer-Services/jobs/Software-Developer-69fc733ca7ec160d?fccid=b5a24abaa892870d&vjs=3,"Designs, develops, and modifies new and existing software applications through effective utilization of given development tools in attaining enhanced…",middle_level,24000.0
661,Graphic Designer and Illustrator,Ethlas,Remote,"PHP 30,000 - PHP 50,000 a month",https://ph.indeed.com/company/Ethlas/jobs/Graphic-Designer-Illustrator-cf024ea1c5dd66a9?fccid=2cac5ee00804bab4&vjs=3,You will be responsible for creating 2D and/or 3D graphics and mobile games related content.,middle_level,40000.0
639,"Graphic Designer (Home Based, Night Shift)",EverLighten,Remote,"PHP 30,000 - PHP 45,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOmkZeKh_68t_iAA3g7mB3Z9q-_nMS0ALa-1wkIIg5Wf81MarHvm_-FDnxXeD2r9GvVZU1hu1sZfMMJUXXaUfeMbHNOxA6LEDxm6DKz78HZEGUxS5xZwiat1xrXEQh8v4EJHiQioPIWGRFIIAOtb3WMSah-1H2yFAqNcmCMLdy4A2GhMYnX-BO9fJwoHSxjF2-P31_M6-RphbhhsIVl4qd35QHLUa9V1wksfg2hUfNcfo7cBgYBQqblm5l6_3HB_LKC2akmS4A5MvTdT8YSPWqMdPn5-zGPONjJlZ2BWmUOUNag6VI9lqg3JGtMXv2Hr7hzXHNsL47k083dHsufPBK3xOlXzB-wBN3KG53rYt_KOhCl12R39tBkvyz6_wtgwgMnrqTVmNbgjo-qQjwDLFtTvRU9tCBban8t4DSyFFBjfE4YVIGoZDVFgMp293_f_XE7gqUPhdZRHwEKRT0dIFezV8w2pcRvn3J4yYvVP5F3N87COIUF9s8QrWU0kVH5tNTVA6mljQZsg==&p=3&fvj=1&vjs=3,We are looking for a creative and highly motivated designer to work alongside our sales and marketing teams on products and campaigns.,middle_level,37500.0
421,Learning and Development Manager,Everise,Remote,"PHP 70,000 - PHP 75,000 a month",https://ph.indeed.com/company/Hyperlab-Japan/jobs/Learning-Development-Manager-ee48d9204c53005a?fccid=1d6d9add82b8ebde&vjs=3,"Manage and facilitate the standard development programs of supervisors, managers, and sr. managers across different functions.",middle_level,72500.0
29,Customer Experience Manager,Everise,Remote,"PHP 80,000 - PHP 100,000 a month",https://ph.indeed.com/company/Hyperlab-Japan/jobs/Customer-Experience-Manager-72b03ba3f3c695be?fccid=1d6d9add82b8ebde&vjs=3,The Manager - Quality Assurance is responsible for the daily supervision and management of a team of Quality Assurance Representatives (QAR).,middle_level,90000.0
615,Front-End Web Developer,"Evertrust Business Solutions, Inc.",Remote,"PHP 25,000 - PHP 45,000 a month","https://ph.indeed.com/company/Evertrust-Business-Solutions,-Inc./jobs/Front-End-Web-Developer-e23f6baffb55ed86?fccid=62ec3b2733e99a05&vjs=3",With experience in web developing.,middle_level,35000.0
778,"Graphic Design, Email Marketer, UX, Fluent English - Day Shi...",Executive Distributors,Remote,"PHP 30,000 - PHP 42,000 a month",https://ph.indeed.com/company/Executive-Distributors/jobs/Graphic-Design-72db3df7130ed030?fccid=ceeb44e6c09d13b9&vjs=3,Graphic Designer/Marketer needed to join a happy team and to support the Sales & Marketing Team including with Graphic Design of Catalogs and various other…,middle_level,36000.0
82,Operations Manager,FTI,Makati,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/Access-Solutions-Multi-Purpose-Cooperative/jobs/Operation-Manager-b3b398d3f6f0c789?fccid=fada499b6ba55093&vjs=3,Bachelor’s degree in operations management or related field.,middle_level,35000.0
668,Graphic Designer,Far Sign Real Estate Corporation`,Taguig,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/rc/clk?cmp=Far-Sign-Real-Estate-Corporation%60&ti=Graphic+Designer&jk=14709ce75e19d340&fccid=d530a68f215d0f47&vjs=3,,middle_level,70000.0
44,Operations Manager,Filpride Resources Inc.,Pasig,"PHP 40,000 - PHP 70,000 a month",https://ph.indeed.com/company/FILPRIDE-RESOURCES-INC./jobs/Operation-Manager-771b8e35acbd1947?fccid=c1dbccf6b923ce55&vjs=3,"Responsible in monitoring of Logistics, Terminal and Transport Operations.",middle_level,55000.0
817,QA/QC Software Tester,First Digital Finance Corporation,Remote,"PHP 25,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHM9o-mjSG-xkCWct_BDrxyHXOBE6JBej-XT-nEGAI12I-NN_N3lrVGplS7euRvUphAg9tUbUCVaB8_X5SQ4U_Hq1tDpuqiJMT-jO-ElOmrdohyNu_kH3656IYLy4vDSoncFYNGTEm5fU6ncX9BRZbEvGm9QbLdTMmJzwpLHv7o-0f-p0Fv6mWV52lMyOaA7lQKtx3nvc1NZOAky-PLfhVqKPI5m1v4S2sUiC27BO3fcAZMzdsjV2ntWiUAnHW1HhdBpoP2DQ0170jj3q1_lo5A8gXXhZaxeKDtQrJ0nu2zxICBcd_E1M7ECJboU1PZPlmH2VWQhWJoREcmwlpNIUmfqb9W3vK83cDWDbkAQd4TAmriFmq1U8h3-wpe2ktYNPGii1v4O5THwlM0LiKaWvEftYQ6Za0UwBX7N7A_uE2ILqnZYB-SJ3EdCWTDEU77oOsq6DjpuB7EOCvGuXpolDili4DqGdiantIpI_J3mrYHA==&p=1&fvj=1&vjs=3,1+ years of experience as a QA or software developer.,senior_level,37500.0
822,Software Developer,"First Life Financial Co., Inc.",Makati,"PHP 30,000 - PHP 35,000 a month",https://ph.indeed.com/company/First-Life-Financial-Co.-Inc./jobs/Software-Developer-6fd65790187cfc60?fccid=3ca3ee93b66434bb&vjs=3,"Two (2) or more years experience as a computer programmer with demonstrated abilities in custom software analysis, design and development – C#.",senior_level,32500.0
171,Clinic Operations Manager,First Order Medical,Mandaluyong,"PHP 60,000 - PHP 70,000 a month",https://ph.indeed.com/company/First-Order-Medical/jobs/Clinic-Operation-Manager-28860e486a6171d2?fccid=b3618e6fde9d3abe&vjs=3,Liaise with superior to make decisions for Clinic operational activities and set strategic goals.,middle_level,65000.0
395,Warehouse Manager,Flash Express Philippines Co Ltd...,Taguig,"PHP 35,000 - PHP 50,000 a month",https://ph.indeed.com/company/Windoway-Trading-Inc./jobs/Warehouse-Manager-2e1c2c6ff054effe?fccid=8a5c059700857d12&vjs=3,Manage and control the overall Hub operations to the accomplishment of agreed performance criteria and standard operation procedures (SOP).,middle_level,42500.0
427,Recruitment Lead,Focus Support Associates,Remote,"PHP 20,000 - PHP 35,000 a month",https://ph.indeed.com/company/Focus-Support-Associates/jobs/Recruitment-Lead-205e29f08fb86d32?fccid=f57f35dc379e5923&vjs=3,Collaborate with hiring managers to set qualification criteria for future employees.,senior_level,27500.0
402,Hospitality Manager,Foothold Realty,Pasig,"PHP 18,000 - PHP 24,000 a month",https://ph.indeed.com/company/Foothold-Realty-Corporation/jobs/Hospitality-Manager-af603dd3778e4767?fccid=cff2d68785ded9a4&vjs=3,"The Hospitality Manager has duties that include coordinating daily hospitality activities and operations, supervising and training staff members, coordination…",middle_level,21000.0
48,Operation Manager,Formula Oil Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/Formula-Oil-Corporation/jobs/Operation-Manager-c342b8a36c4fad64?fccid=cc8bcc31a0b371a8&vjs=3,Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.,middle_level,35000.0
315,Brand Manager,Fountain Forward,Remote,"PHP 85,000 - PHP 100,000 a month",https://ph.indeed.com/company/Fountain-Forward/jobs/Brand-Manager-4d22dcf951eb747c?fccid=87456e4666850b18&vjs=3,"Prioritize work and resources based on short- and long-term needs, establishing production schedules by collaborating with project managers and CSD's/CSM's.",middle_level,92500.0
826,Software Developer,GHL Systems Philippines Inc.,Makati,"PHP 50,000 - PHP 60,000 a month",https://ph.indeed.com/company/GHL-Systems-Philippines-Inc./jobs/Software-Developer-417caf0e3b55b460?fccid=a9a9a3311d2d2b37&vjs=3,"Design, develop advanced C++, C# or ASP.",middle_level,55000.0
132,Assistant Inventory Manager,GLACIER MEGAFRIDGE,Parañaque,"PHP 35,000 - PHP 40,000 a month",https://ph.indeed.com/company/GLACIER-MEGAFRIDGE/jobs/Assistant-Inventory-Manager-8c98b0b366f971d7?fccid=f20e474110d90d39&vjs=3,The Assistant Inventory Manager is responsible for managing the overall activities of the Inventory Team to ensure the integrity and accuracy of inventory.,junior_level,37500.0
681,CREATIVE DIGITAL MARKETING SPECIALIST-GRAPHIC ARTIST/IT,GREAT DEPOT INC,Muntinlupa,"PHP 20,000 - PHP 25,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4LCJl5eyByZnZnfm539VntbAz-4Za6rX7ziB-uAEqTdNwhcTA2G8GOxKqgBXlBMiRzHDAW6-N34HyhQFP2WhkUtev1N1v_LUAyTMVLEiAPWMB8B5GOM-YQl47Uc_A5Tq_2KoedTKvrNjS3tZ0csY90FAzmXzGsDSWpiVImv0oKnoEc9JYsq9kzGJwa6z0ZcLyoQ3napqz00uY4RLfI4VPbjwSHl5HLMUxH0a7SFF9vduCvTN1FAeFa1HbjXGnDcqEd6diupsTWKYTLfW3YzSbnBryDI7m2dZaHs2bGxZuu6cS5QgcaY4uLAu4ikiDCkipiubshlmQwBGb40E4UvOmmrUBdk54bE_JJe-1M_Lj13lPgk_QIlZ8TAR3BMkm0evrGCXr90GJcH3rjfVug8Z034hkcKWZH0PhXe2Qss1JzGWnL3ZVBivn1OmAUoNuEjErKSGwFpB2rZOVM7FHWsha2srPYEjwtnYAz7ZICdVSVA==&p=0&fvj=1&vjs=3,Design digital media campaigns aligned with business goals.,middle_level,22500.0
714,Digital Graphic Designer,GUS Education Philippines,Quezon City,"PHP 35,000 - PHP 45,000 a month",https://ph.indeed.com/company/GUS-Education-Philippines/jobs/Digital-Graphic-Designer-0b4f36c9a4ba2887?fccid=6851074a8da86573&vjs=3,"Work schedule is 1PM to 10PM, weekends off.",middle_level,40000.0
654,Graphic Designer & Video Editor,"Genfinity Philippines, Inc.",Remote,"PHP 35,000 - PHP 45,000 a month","https://ph.indeed.com/company/Genfinity-Philippines,-Inc./jobs/Graphic-Designer-Video-Editor-e85e7e53ad25725b?fccid=64506f645ddced6d&vjs=3",Expert-level knowledge of Adobe Suite and common motion graphics design software.,middle_level,40000.0
802,Backend Developer (Nodejs),Global BrainForce,Remote,"PHP 60,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpFpNmZA7hgMNsi_upSJct3HJ6RYKydKef9cXvDaqXGswJ-UdcPix7L_ySL5RhlNYZudNhh_gF8FurVGUcIVMgROKhdsZTPkJvARKa8gDQuKgjTvQSiPxUYfNvcCr9d5OFvls_bkwQ_GSJPTjJT2wGLcTPbBawR-xms0XOF9kV7D8N8pBR_RJTFQRkGjsL9brmEw9hIIwYyjXpB6E4M0urM8mhi2xjoQyQ1-HuVf-jZxlExelIsIbqnlrJ3-AbP50YOF86EuhYsTaE3F7tzcBaESh8o9cL7q1YIjZUK62qKgx-Xw2PYykNUgrnaEbkedGgwG1Vq2T_bq0kJLYXHFNWV8LLFW0r8qSDYpL-btP_S7bYUvAFDvjBujmDGSBt9tHnQMae7YmPgTOdFor7B9KsF6dAIAmy94Chovc-2m7lo6Ikixx6BtXY9YeDvfDtIwKOEtGRgu7sENwzVDtCP1ZdLopg4uFZ8qDzL1vFQErv2tP-r_OMvTFhpW3grBsqolA=&p=1&fvj=1&vjs=3,Up to 4 years of professional experience in Nodejs or Java / Golang.,senior_level,70000.0
983,Net Developer,Global Information Security Vendor,Remote,"PHP 50,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CiJnufwpLQYBWeX267ZjYEkPWW-Tj8ELf8xMrljz-Z-mvygXhpAFUoSZRmK59RMyzysF0HK1G68WOp-UFSM-NzHmj9zsjqoPeFjWc803sMXmTXUk7iLmwoqml3Jx9S6xe0_B9SFJswru79lf1vyKXpXRZPcK_IuyDw0oTH8GTaJRkAG7bxaL5YgjEa7-FtCLekwYNp-qf5B4W_L-SBNb1RQ6a1nKlsoiiCTvEDCagjh7vno_QprpKerJSqum8a_SOOjU1YRLbFMlc_9TY1TSv-w10sdTriJM5bCfg0kJRHDeb4MNKbqaR3AyCkweC4cOUY8aUsIMsg78taNpJW3MuPbNRUVndC7Py8fkBZqo695aIyy1vXUfNSxlQUbojj1m4gtCUcpI6_1tZ43I39hLnjNZV987tuRhRBDXtA993KJ0JmvgUM_RimqFDsE993hO7gTRxulSC9N44iZ6yJDJCUvleOJ1P9ALLW81O4OjvFng==&p=2&fvj=1&vjs=3,Developing cutting edge cybercrime / security software and services.,middle_level,65000.0
542,Senior Data Engineer,Global Quest Consulting Group Inc.,Remote,"PHP 25,000 - PHP 30,000 a month",https://ph.indeed.com/company/global-quest-consulting-group-inc./jobs/Senior-Data-Engineer-2de2df6b72da6a37?fccid=10f46d526b6c8682&vjs=3,Work on data provided by different data ingestion tools or approaches such as APIs and ingest the required data into ETL pipelines.,senior_level,27500.0
480,Data Engineer,Global Quest Consulting Group Inc.,Mandaluyong,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/global-quest-consulting-group-inc./jobs/Data-Engineer-49d6dce9679a08a0?fccid=10f46d526b6c8682&vjs=3,Work on data provided by different data ingestion tools or approaches such as APIs and ingest the required data into ETL pipelines.,middle_level,35000.0
377,Asst. Restaurant Manager,Global Roast Food Corp,Alabang,"PHP 14,000 - PHP 18,000 a month",https://ph.indeed.com/company/Global-Roast-Food-Corp/jobs/Assistant-Restaurant-Manager-4d188eb615007758?fccid=6a85c71645ee22f9&vjs=3,These professionals work in conjunction with restaurant managers.,junior_level,16000.0
198,Employee Relations Manager,Golden Donuts Inc.,Mandaluyong,"PHP 50,000 - PHP 60,000 a month",https://ph.indeed.com/company/Golden-Donuts-Inc./jobs/Employee-Relation-Manager-25dacfef443f693a?fccid=7777466da3996dc5&vjs=3,"Candidate must possess at least Bachelor's/College Degree in Human Resource Management, Psychology or equivalent.",middle_level,55000.0
63,Shift Manager,Golden Donuts Inc.,Quezon City,"PHP 16,000 - PHP 17,000 a month",https://ph.indeed.com/company/Infinity-Strategic-Management-Solution-Inc/jobs/Shift-Manager-f32cf0aaf807454d?fccid=fa8ed30d58beaef8&vjs=3,>Bachelor's of Science in Hotel &Restaurant Management or any 4 year business related course.,senior_level,16500.0
622,Front-End Web Developer,Golden Pyramid Management Solutions Inc.,Remote,"PHP 20,000 - PHP 40,000 a month","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Front-End-Web-Developer-9bd5a55f2fe13316?fccid=7d4f76893d11c2e1&vjs=3",Front end web development: 2 years (Required).,senior_level,30000.0
468,HR Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 40,000 - PHP 70,000 a month","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Human-Resource-Manager-9e2687970df815c1?fccid=7d4f76893d11c2e1&vjs=3",Ensures the quality and consistency of performance appraisals by reviewing appraisals and counseling supervisors and managers on appraisals that for not conform…,middle_level,55000.0
101,Front Office Duty Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 30,000 - PHP 50,000 a month","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Front-Office-Duty-Manager-5cfcb52ed73d57f9?fccid=7d4f76893d11c2e1&vjs=3",3 years of previous front office duty manager experience is preferred.,senior_level,40000.0
19,Food and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 25,000 - PHP 50,000 a month","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Food-Beverage-Manager-e3252ef49e92eb10?fccid=7d4f76893d11c2e1&vjs=3","Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures.",middle_level,37500.0
23,Warehouse Manager,Gramans Group of Companies,Muntinlupa,"PHP 25,000 - PHP 40,000 a month",https://ph.indeed.com/company/FiberHome-Philippines/jobs/Warehouse-Manager-75915a805b368871?fccid=5a3bf32a525443eb&vjs=3,Oversees the day-to-day operation of the Warehousing and Distribution business of the company.,middle_level,32500.0
408,Logistics Manager,Green Amenities Supply Corporation,Quezon City,"PHP 35,000 - PHP 45,000 a month",https://ph.indeed.com/company/Green-Amenities-Supply-Coproration/jobs/Logistic-Manager-77ab43001be6a515?fccid=7ddb763e38507f40&vjs=3,"Bachelor’s Degree in Engineering, Logistics, Business, Supply Chain or equivalent course.",middle_level,40000.0
642,Graphic Designer,GrowthAssistant,Remote,"PHP 25,000 - PHP 40,000 a month",https://ph.indeed.com/company/GrowthAssistant/jobs/Graphic-Designer-421701a8828e6a3b?fccid=bc27547eac27f7b0&vjs=3,"This teammate will assist with ongoing graphic design projects, creating images, and video editing while making sure branding guidelines are followed.",junior_level,32500.0
